Wavelength,Responsivity
519.7643542232,0.747074289
520.2229623001,0.750684492
520.6815440408,0.753095122
521.1400994431,0.755505614
521.5986285050,0.757915968
522.0571312241,0.760075790
522.5156075983,0.762067716
522.9740576255,0.764059529
523.4324813033,0.766051226
523.8908786298,0.768042435
524.3492496026,0.770019243
524.8075942196,0.771995937
525.2659124786,0.773972518
525.7242043774,0.775955785
526.1824699138,0.777997071
526.6407090856,0.780038240
527.0989218908,0.782079292
527.5571083269,0.784120226
528.0152683920,0.786291950
528.4734020838,0.788580224
528.9315094001,0.790868365
529.3895903387,0.793156375
529.8476448975,0.794876098
530.3056730742,0.795961726
530.7636748667,0.797047291
531.2216502728,0.798132794
531.6795992903,0.799218234
532.1375219170,0.800303612
532.5954181508,0.801353911
533.0532879894,0.801975324
533.5111314307,0.802596701
533.9689484725,0.803218042
534.4267391125,0.803839347
534.8845033487,0.804460617
535.3422411788,0.805081851
535.7999526006,0.805703048
536.2576376120,0.806309644
536.7152962107,0.806871715
537.1729283947,0.807433753
537.6305341616,0.807995759
538.0881135094,0.808557733
538.5456664358,0.809119674
539.0031929386,0.809681583
539.4606930157,0.810243459
539.9181666649,0.810554113
540.3756138839,0.810511038
540.8330346707,0.810467967
541.2904290230,0.810424897
541.7477969386,0.810381830
542.2051384154,0.810338766
542.6624534511,0.810295704
543.1197420436,0.810252645
543.5770041907,0.810052491
544.0342398903,0.809743274
544.4914491400,0.809434074
544.9486319378,0.809124892
545.4057882814,0.808815728
545.8629181687,0.808506582
546.3200215975,0.808197454
546.7770985656,0.807888344
547.2341490709,0.807488640
547.6911731110,0.807061273
548.1481706839,0.806633931
548.6051417873,0.806206614
549.0620864192,0.805779322
549.5190045772,0.805352054
549.9758962592,0.804924811
550.4327614630,0.804497593
550.8896001865,0.803157051
551.3464124274,0.801758387
551.8031981836,0.800359804
552.2599574529,0.798961302
552.7166902330,0.797562881
553.1733965219,0.796134965
553.6300763173,0.794649912
554.0867296170,0.793164945
554.5433564189,0.791680064
554.9999567208,0.790195270
555.4565305204,0.788710561
555.9130778157,0.787255641
556.3695986043,0.785866123
556.8260928842,0.784476685
557.2825606531,0.783087328
557.7390019089,0.781698052
558.1954166494,0.780308856
558.6518048724,0.778919741
559.1081665756,0.777389980
559.5645017570,0.775478806
560.0208104143,0.773567743
560.4770925454,0.771656791
560.9333481480,0.769264390
561.3895772200,0.764056273
561.8457797592,0.759539325
562.3019557634,0.756392890
562.7581052304,0.753246639
563.2142281581,0.749955386
563.6703245442,0.745793254
564.1263943866,0.741631363
564.5824376831,0.737636310
565.0384544315,0.733761939
565.4944446296,0.729887794
565.9504082752,0.726102623
566.4063453662,0.722319016
566.8622559003,0.718298784
567.3181398754,0.713906640
567.7739972893,0.709913949
568.2298281398,0.706638780
568.6856324247,0.703363803
569.1414101418,0.700054072
569.5971612890,0.696565986
570.0528858641,0.693078103
570.5085838648,0.689259965
570.9642552890,0.682999304
571.4199001346,0.678006811
571.8755183992,0.673976826
572.3311100808,0.669947077
572.7866751772,0.662903654
573.2422136861,0.656799954
573.6977256054,0.652436199
574.1532109329,0.648072699
574.6086696664,0.641067632
575.0641018038,0.634687493
575.5195073428,0.630684284
575.9748862812,0.626475521
576.4302386169,0.619629352
576.8855643477,0.614008746
577.3408634714,0.608732329
577.7961359859,0.603597525
578.2513818888,0.598624431
578.7066011781,0.593521758
579.1617938516,0.588016146
579.6169599071,0.582637218
580.0720993423,0.577426238
580.5272121552,0.572215563
580.9822983434,0.563277850
581.4373579050,0.556166627
581.8923908375,0.551627952
582.3473971390,0.547089543
582.8023768071,0.538952299
583.2573298397,0.530269240
583.7122562346,0.521836385
584.1671559897,0.513221995
584.6220291027,0.508399035
585.0768755714,0.503727363
585.5316953938,0.497620438
585.9864885675,0.489141828
586.4412550904,0.482304455
586.8959949604,0.475254373
587.3507081751,0.468078922
587.8053947325,0.460915308
588.2600546304,0.454079549
588.7146878666,0.447490085
589.1692944388,0.440843908
589.6238743450,0.434059259
590.0784275829,0.426997835
590.5329541503,0.416716625
590.9874540451,0.411809793
591.4419272650,0.406152683
591.8963738079,0.399619496
592.3507936717,0.393669058
592.8051868540,0.387203915
593.2595533527,0.379487162
593.7138931657,0.372371922
594.1682062908,0.367690840
594.6224927257,0.362872829
595.0767524684,0.355362824
595.5309855165,0.343995560
595.9851918679,0.340154922
596.4393715205,0.336314510
596.8935244720,0.329317707
597.3476507203,0.321819427
597.8017502631,0.315949765
598.2558230984,0.311313069
598.7098692239,0.304670036
599.1638886373,0.295402054
599.6178813366,0.288928713
600.0718473196,0.282647576
600.5257865840,0.277656412
600.9796991278,0.272665542
601.4335849486,0.268132447
601.8874440443,0.263816194
602.3412764128,0.259500195
602.7950820517,0.254874437
603.2488609591,0.250168735
603.7026131326,0.245480495
604.1563385701,0.240865313
604.6100372694,0.236250404
605.0637092284,0.231398811
605.5173544447,0.226380565
605.9709729163,0.221362614
606.4245646410,0.216609603
606.8781296165,0.211861138
607.3316678408,0.207147110
607.7851793115,0.202489150
608.2386640266,0.197831464
608.6921219838,0.193035032
609.1455531809,0.188198398
609.5989576159,0.183642694
610.0523352864,0.180459857
610.5056861903,0.177277208
610.9590103254,0.174094747
611.4123076895,0.171553844
611.8655782805,0.169082742
612.3188220961,0.166611786
612.7720391342,0.164140975
613.2252293926,0.161670063
613.6783928691,0.159199290
614.1315295615,0.156728663
614.5846394676,0.154256862
615.0377225853,0.151757361
615.4907789124,0.149258008
615.9438084466,0.146758802
616.3968111858,0.000000000
616.8497871278,0.000000000
617.3027362704,0.000000000
